Entity,Code,Year,height
Algeria,DZA,1910,168.8
Algeria,DZA,1920,166.2
Algeria,DZA,1930,169
Angola,AGO,1810,160.5
Angola,AGO,1880,168.8
Angola,AGO,1890,169.1
Angola,AGO,1900,168.1
Angola,AGO,1910,168
Angola,AGO,1920,165.7
Angola,AGO,1930,166.7
Benin,BEN,1810,164.9
Benin,BEN,1910,168.9
Benin,BEN,1920,168.1
Benin,BEN,1930,168.2
Benin,BEN,1950,169.9
Benin,BEN,1960,170.7
Benin,BEN,1970,170.3
Benin,BEN,1980,169.2
Botswana,BWA,1910,165.4
Botswana,BWA,1980,167.1
Burkina Faso,BFA,1810,166.3
Burkina Faso,BFA,1820,165.4
Burkina Faso,BFA,1830,166.7
Burkina Faso,BFA,1840,162.6
Burkina Faso,BFA,1870,171.2
Burkina Faso,BFA,1880,171.5
Burkina Faso,BFA,1890,167.9
Burkina Faso,BFA,1900,171.2
Burkina Faso,BFA,1910,171.1
Burkina Faso,BFA,1920,172.4
Burkina Faso,BFA,1930,171
Burkina Faso,BFA,1940,172.5
Burkina Faso,BFA,1950,172.2
Burkina Faso,BFA,1960,172.8
Burkina Faso,BFA,1970,172.8
Burkina Faso,BFA,1980,172.8
Burundi,BDI,1920,166.1
Burundi,BDI,1930,169.4
Cameroon,CMR,1810,165.9
Cameroon,CMR,1860,165.1
Cameroon,CMR,1870,165.7
Cameroon,CMR,1880,166.6
Cameroon,CMR,1890,164.1
Cameroon,CMR,1900,166.7
Cameroon,CMR,1910,168.8
Cameroon,CMR,1920,166.7
Cameroon,CMR,1930,169.5
Cameroon,CMR,1950,171.3
Cameroon,CMR,1960,171.5
Cameroon,CMR,1970,171.6
Cameroon,CMR,1980,171
Cape Verde,CPV,1980,169
Central African Republic,CAF,1880,167.1
Central African Republic,CAF,1900,167.3
Central African Republic,CAF,1910,164.9
Central African Republic,CAF,1920,163.6
Central African Republic,CAF,1930,164
Central African Republic,CAF,1950,169.3
Central African Republic,CAF,1960,170.8
Central African Republic,CAF,1970,169.9
Chad,TCD,1870,169.8
Chad,TCD,1880,169
Chad,TCD,1890,169.6
Chad,TCD,1900,165.8
Chad,TCD,1920,169.4
Chad,TCD,1930,170.6
Chad,TCD,1950,173.7
Chad,TCD,1960,174.3
Chad,TCD,1970,173.8
Chad,TCD,1980,173.3
Comoros,COM,1950,166.8
Comoros,COM,1960,167
Comoros,COM,1970,167
Congo,COG,1810,163.3
Congo,COG,1850,167.6
Congo,COG,1860,166
Congo,COG,1920,165.4
Congo,COG,1930,164.6
Congo,COG,1940,166.9
Congo,COG,1950,168.4
Congo,COG,1960,169.4
Congo,COG,1970,169
Congo,COG,1980,168.4
Democratic Republic of Congo,COD,1810,163.3
Democratic Republic of Congo,COD,1870,165.7
Democratic Republic of Congo,COD,1880,163.2
Democratic Republic of Congo,COD,1890,162.6
Democratic Republic of Congo,COD,1910,165.3
Democratic Republic of Congo,COD,1920,163.1
Democratic Republic of Congo,COD,1930,167.3
Democratic Republic of Congo,COD,1950,168.5
Democratic Republic of Congo,COD,1960,168.3
Democratic Republic of Congo,COD,1970,169
Democratic Republic of Congo,COD,1980,167.5
Djibouti,DJI,1980,168.9
Egypt,EGY,1850,166.4
Egypt,EGY,1860,167.7
Egypt,EGY,1870,166.9
Egypt,EGY,1880,163
Egypt,EGY,1900,166.2
Egypt,EGY,1910,166.2
Egypt,EGY,1920,165.1
Egypt,EGY,1940,167.5
Egypt,EGY,1950,170.1
Egypt,EGY,1960,170.6
Egypt,EGY,1970,171.2
Egypt,EGY,1980,171.3
Equatorial Guinea,GNQ,1930,169
Eritrea,ERI,1860,166.3
Eritrea,ERI,1880,165.3
Eritrea,ERI,1930,164
Eritrea,ERI,1950,156.7
Eritrea,ERI,1960,155.8
Eritrea,ERI,1970,156
Ethiopia,ETH,1860,169.3
Ethiopia,ETH,1880,167.5
Ethiopia,ETH,1910,161.5
Ethiopia,ETH,1920,166.6
Ethiopia,ETH,1930,167.3
Ethiopia,ETH,1940,168.5
Ethiopia,ETH,1950,166.8
Ethiopia,ETH,1960,167.5
Ethiopia,ETH,1970,167.5
Ethiopia,ETH,1980,167.3
Gabon,GAB,1810,165.4
Gabon,GAB,1910,164.9
Gabon,GAB,1920,164.3
Gabon,GAB,1950,171.2
Gabon,GAB,1960,170.7
Gabon,GAB,1970,170.5
Gabon,GAB,1980,169.7
Gambia,GMB,1920,166.6
Ghana,GHA,1810,164.1
Ghana,GHA,1860,167.8
Ghana,GHA,1880,167.8
Ghana,GHA,1890,164.2
Ghana,GHA,1900,165.9
Ghana,GHA,1910,167.1
Ghana,GHA,1920,167.1
Ghana,GHA,1930,167.7
Ghana,GHA,1940,168.6
Ghana,GHA,1950,169.5
Ghana,GHA,1960,169.8
Ghana,GHA,1970,169.9
Ghana,GHA,1980,170
Guinea,GIN,1870,169.9
