Entity,Code,Year,height
Afghanistan,AFG,1870,168.4
Afghanistan,AFG,1880,165.7
Afghanistan,AFG,1930,166.8
Bahrain,BHR,1930,160.7
Bahrain,BHR,1940,163.8
Bahrain,BHR,1950,164
Bangladesh,BGD,1850,161.8
Bangladesh,BGD,1860,162.3
Bangladesh,BGD,1870,163.7
Bangladesh,BGD,1880,162.1
Bangladesh,BGD,1950,161.6
Bangladesh,BGD,1960,162.2
Bangladesh,BGD,1980,162.4
Cambodia,KHM,1840,161.6
Cambodia,KHM,1850,163.2
Cambodia,KHM,1860,164.9
Cambodia,KHM,1870,159
Cambodia,KHM,1880,161.7
Cambodia,KHM,1890,160.4
Cambodia,KHM,1900,158.3
Cambodia,KHM,1910,160.6
Cambodia,KHM,1920,158.5
Cambodia,KHM,1930,158.4
Cambodia,KHM,1950,162.4
Cambodia,KHM,1960,162.8
Cambodia,KHM,1970,162.7
Cambodia,KHM,1980,162.5
China,CHN,1810,165.7
China,CHN,1820,165.8
China,CHN,1830,165.8
China,CHN,1840,166.2
China,CHN,1850,166.2
China,CHN,1860,165.7
China,CHN,1870,165.8
China,CHN,1880,165.3
China,CHN,1890,164
China,CHN,1900,164
China,CHN,1910,164.7
China,CHN,1920,164.2
China,CHN,1930,166.5
China,CHN,1940,167.4
China,CHN,1950,169.2
China,CHN,1960,170
China,CHN,1970,170
China,CHN,1980,171.5
India,IND,1840,160.3
India,IND,1850,161.8
India,IND,1860,163
India,IND,1870,163.8
India,IND,1880,162.4
India,IND,1890,163
India,IND,1910,162.9
India,IND,1920,163.5
India,IND,1930,163.7
India,IND,1940,164
India,IND,1950,163.5
India,IND,1960,163.9
India,IND,1970,164.3
India,IND,1980,164.4
Indonesia,IDN,1810,161.3
Indonesia,IDN,1840,160.4
Indonesia,IDN,1850,160.6
Indonesia,IDN,1860,160.4
Indonesia,IDN,1870,158.1
Indonesia,IDN,1880,158.6
Indonesia,IDN,1890,158.8
Indonesia,IDN,1900,159
Indonesia,IDN,1910,159.6
Indonesia,IDN,1920,160.9
Indonesia,IDN,1930,160.7
Indonesia,IDN,1940,160.4
Indonesia,IDN,1950,161.7
Indonesia,IDN,1960,162.4
Indonesia,IDN,1970,163.1
Indonesia,IDN,1980,164
Iran,IRN,1850,165.3
Iran,IRN,1870,168.3
Iran,IRN,1880,165.2
Iran,IRN,1890,166
Iran,IRN,1900,167.5
Iran,IRN,1910,167.2
Iran,IRN,1940,167.8
Iran,IRN,1950,168.8
