Entity,Code,Year,height
Albania,ALB,1880,170.1
Albania,ALB,1890,169.8
Albania,ALB,1900,169.2
Armenia,ARM,1850,169.3
Armenia,ARM,1860,167.6
Armenia,ARM,1890,166.2
Armenia,ARM,1900,163.6
Armenia,ARM,1910,163.8
Armenia,ARM,1940,168
Armenia,ARM,1960,170.6
Armenia,ARM,1970,171.7
Armenia,ARM,1980,171.7
Austria,AUT,1820,163.7
Austria,AUT,1830,163.4
Austria,AUT,1840,164.8
Austria,AUT,1850,165.8
Austria,AUT,1860,166.4
Austria,AUT,1870,167.2
Austria,AUT,1880,167.7
Austria,AUT,1890,168.4
Austria,AUT,1900,168.9
Austria,AUT,1910,168.9
Austria,AUT,1920,170.4
Austria,AUT,1960,177
Austria,AUT,1970,177.5
Austria,AUT,1980,178.8
Azerbaijan,AZE,1850,170.2
Azerbaijan,AZE,1860,170.8
Azerbaijan,AZE,1950,171.2
Azerbaijan,AZE,1960,171.7
Azerbaijan,AZE,1970,172
Azerbaijan,AZE,1980,172.2
Belarus,BLR,1840,163.9
Belarus,BLR,1900,166.5
Belarus,BLR,1980,176.4
Belgium,BEL,1810,163.1
Belgium,BEL,1820,163.7
Belgium,BEL,1830,164
Belgium,BEL,1840,165.1
Belgium,BEL,1850,166.1
Belgium,BEL,1860,166.6
Belgium,BEL,1870,166.6
Belgium,BEL,1900,167.8
Belgium,BEL,1940,174.5
Belgium,BEL,1960,176.8
Bulgaria,BGR,1880,167.6
Bulgaria,BGR,1930,171.7
Bulgaria,BGR,1940,171.3
Bulgaria,BGR,1950,172.9
Croatia,HRV,1810,163.2
Croatia,HRV,1820,163.6
Croatia,HRV,1830,163.5
Croatia,HRV,1840,161.2
Croatia,HRV,1850,168.1
Croatia,HRV,1860,165.9
Croatia,HRV,1870,166.8
Croatia,HRV,1880,168.9
Croatia,HRV,1900,171.5
Croatia,HRV,1930,176.1
Croatia,HRV,1950,175.1
Croatia,HRV,1960,178.2
Cyprus,CYP,1860,168.8
Cyprus,CYP,1870,169.8
Cyprus,CYP,1880,169.1
Cyprus,CYP,1890,168.3
Czech Republic,CZE,1810,164
Czech Republic,CZE,1820,163
Czech Republic,CZE,1830,163.5
Czech Republic,CZE,1840,164.8
Czech Republic,CZE,1850,165.5
Czech Republic,CZE,1860,166
Czech Republic,CZE,1870,167
Czech Republic,CZE,1880,167.6
Czech Republic,CZE,1890,169.8
Czech Republic,CZE,1900,170.7
Czech Republic,CZE,1910,170.8
Czech Republic,CZE,1920,173.3
Czech Republic,CZE,1930,175.7
Czech Republic,CZE,1940,176.8
Czech Republic,CZE,1950,177.7
Czech Republic,CZE,1970,178.7
Denmark,DNK,1820,167
Denmark,DNK,1830,165.4
Denmark,DNK,1850,167.4
Denmark,DNK,1860,168.1
Denmark,DNK,1870,168.1
Denmark,DNK,1880,169.5
Denmark,DNK,1890,169.2
Denmark,DNK,1900,170.5
Denmark,DNK,1910,170
Denmark,DNK,1920,173.5
Denmark,DNK,1930,173.9
Denmark,DNK,1940,175.9
Denmark,DNK,1950,179.8
Denmark,DNK,1960,180.2
Denmark,DNK,1970,180.8
Denmark,DNK,1980,183.2
Estonia,EST,1840,166.7
Estonia,EST,1870,167.6
Estonia,EST,1890,173.4
Estonia,EST,1900,175.3
Estonia,EST,1910,172
Estonia,EST,1960,174.1
Estonia,EST,1970,179.6
Estonia,EST,1980,179.1
Finland,FIN,1810,171.9
Finland,FIN,1820,170.1
Finland,FIN,1830,169.5
Finland,FIN,1860,167.3
Finland,FIN,1900,167.3
Finland,FIN,1910,170.5
Finland,FIN,1920,172.3
Finland,FIN,1930,172.5
Finland,FIN,1940,174.8
Finland,FIN,1950,178
Finland,FIN,1960,179.3
Finland,FIN,1970,177.5
Finland,FIN,1980,178.2
France,FRA,1810,163.9
France,FRA,1820,163.9
France,FRA,1830,164
France,FRA,1840,164.3
France,FRA,1850,165.2
France,FRA,1860,165.4
France,FRA,1870,165.5
France,FRA,1880,165.9
France,FRA,1890,166.1
France,FRA,1900,166.8
France,FRA,1910,167.8
France,FRA,1920,168.5
France,FRA,1930,169.9
France,FRA,1940,171.7
France,FRA,1950,173.2
France,FRA,1960,174.9
France,FRA,1970,175.1
France,FRA,1980,176.5
Georgia,GEO,1840,165.5
Georgia,GEO,1860,163
Georgia,GEO,1890,164.3
Germany,DEU,1810,167.8
Germany,DEU,1820,167.3
Germany,DEU,1830,166.8
Germany,DEU,1840,166.6
Germany,DEU,1850,163.8
Germany,DEU,1860,165.5
Germany,DEU,1870,166.9
Germany,DEU,1880,167.9
Germany,DEU,1890,168.6
Germany,DEU,1900,169.2
Germany,DEU,1910,170.5
Germany,DEU,1920,173.3
Germany,DEU,1930,174
Germany,DEU,1940,175.2
Germany,DEU,1950,176.8
Germany,DEU,1960,178.9
Germany,DEU,1970,179.4
Germany,DEU,1980,180.5
Greece,GRC,1870,168.5
Greece,GRC,1880,167.3
Greece,GRC,1900,169.6
Greece,GRC,1910,168.1
Greece,GRC,1920,168.4
Greece,GRC,1930,167.5
Greece,GRC,1940,169.2
Greece,GRC,1950,173.7
Greece,GRC,1960,177.6
Greece,GRC,1980,177.3
Hungary,HUN,1810,164.7
Hungary,HUN,1820,164.3
Hungary,HUN,1830,164.1
Hungary,HUN,1840,164
Hungary,HUN,1850,163.7
Hungary,HUN,1860,165.3
Hungary,HUN,1870,166.4
Hungary,HUN,1880,169.1
Hungary,HUN,1950,175.4
Hungary,HUN,1960,178.2
Hungary,HUN,1970,178.8
Ireland,IRL,1810,168
Ireland,IRL,1820,165.4
Ireland,IRL,1830,168.1
Ireland,IRL,1840,160.9
Ireland,IRL,1870,168.5
Ireland,IRL,1880,168.7
Ireland,IRL,1890,169.1
Ireland,IRL,1900,170
Ireland,IRL,1920,171.9
Ireland,IRL,1930,173.3
Ireland,IRL,1950,174.9
Ireland,IRL,1960,175.8
Ireland,IRL,1970,176.4
Ireland,IRL,1980,176.6
Italy,ITA,1810,164.1
Italy,ITA,1820,165.8
Italy,ITA,1830,164.1
Italy,ITA,1840,162
Italy,ITA,1850,162.9
Italy,ITA,1860,163.1
Italy,ITA,1870,163.5
Italy,ITA,1880,163.9
Italy,ITA,1890,164.7
Italy,ITA,1900,165.6
Italy,ITA,1910,166.3
Italy,ITA,1920,167.3
Italy,ITA,1930,168.1
Italy,ITA,1940,169.3
Italy,ITA,1950,171.3
Italy,ITA,1960,173
Italy,ITA,1970,174.1
Italy,ITA,1980,174.5
Kazakhstan,KAZ,1840,165.3
Kazakhstan,KAZ,1850,164.6
Kazakhstan,KAZ,1870,163.4
Kazakhstan,KAZ,1890,164.8
Kazakhstan,KAZ,1900,165
Kazakhstan,KAZ,1910,163.4
Kazakhstan,KAZ,1920,166
Kazakhstan,KAZ,1930,164.4
Kazakhstan,KAZ,1950,170.3
Kazakhstan,KAZ,1960,171.4
Kazakhstan,KAZ,1970,171.3
Latvia,LVA,1840,166.5
Latvia,LVA,1880,170.6
Latvia,LVA,1890,171.7
Latvia,LVA,1900,171.4
Latvia,LVA,1940,174.2
Lithuania,LTU,1840,165.3
Lithuania,LTU,1940,173.7
Macedonia,MKD,1900,167.7
Macedonia,MKD,1910,168.4
Macedonia,MKD,1920,169.6
Macedonia,MKD,1930,168.8
Moldova,MDA,1840,165.1
Moldova,MDA,1950,172
Moldova,MDA,1960,172.8
Moldova,MDA,1970,173.5
Moldova,MDA,1980,174.2
Netherlands,NLD,1810,166
Netherlands,NLD,1820,165.1
Netherlands,NLD,1830,164.2
Netherlands,NLD,1840,164.5
Netherlands,NLD,1850,165.3
Netherlands,NLD,1860,166.5
Netherlands,NLD,1870,167.1
Netherlands,NLD,1880,168.5
Netherlands,NLD,1890,169.4
Netherlands,NLD,1900,170.9
Netherlands,NLD,1910,172.6
Netherlands,NLD,1920,173.5
Netherlands,NLD,1930,174.1
Netherlands,NLD,1940,177.5
Netherlands,NLD,1950,178.7
Netherlands,NLD,1960,182.2
Netherlands,NLD,1970,182.3
Netherlands,NLD,1980,182.7
Norway,NOR,1810,168.6
Norway,NOR,1820,167.5
Norway,NOR,1830,168.9
Norway,NOR,1840,168
Norway,NOR,1850,169.1
Norway,NOR,1860,169.7
Norway,NOR,1870,170.4
Norway,NOR,1880,171.1
Norway,NOR,1890,171.1
Norway,NOR,1900,172
Norway,NOR,1910,173.3
Norway,NOR,1920,176.3
Norway,NOR,1930,176.9
Norway,NOR,1940,177.5
Norway,NOR,1950,178.1
Norway,NOR,1960,179.3
Norway,NOR,1970,179.5
Norway,NOR,1980,179.7
Poland,POL,1840,163.1
Poland,POL,1860,165.5
Poland,POL,1870,166.3
Poland,POL,1880,166.8
Poland,POL,1890,167.2
Poland,POL,1900,166.6
Poland,POL,1910,169
Poland,POL,1930,173
Poland,POL,1940,170.5
Poland,POL,1950,173.2
Poland,POL,1960,175.3
Poland,POL,1980,177.4
Portugal,PRT,1810,165.5
Portugal,PRT,1820,166.3
Portugal,PRT,1830,165.3
Portugal,PRT,1840,163.5
Portugal,PRT,1850,164.2
Portugal,PRT,1860,164.1
Portugal,PRT,1870,164.7
Portugal,PRT,1880,164.2
Portugal,PRT,1890,164.2
Portugal,PRT,1900,163.8
Portugal,PRT,1910,164.5
Portugal,PRT,1920,164.9
Portugal,PRT,1930,165.6
Portugal,PRT,1940,166.4
Portugal,PRT,1950,167.4
Portugal,PRT,1960,169.2
Portugal,PRT,1970,171.4
Portugal,PRT,1980,172.1
Romania,ROU,1840,164
Romania,ROU,1850,163.4
Romania,ROU,1860,164.1
Romania,ROU,1870,165.4
Romania,ROU,1880,164.1
Romania,ROU,1900,168.3
Romania,ROU,1940,169.3
Russia,RUS,1810,159.8
Russia,RUS,1820,162.1
Russia,RUS,1830,163
Russia,RUS,1840,164.2
Russia,RUS,1850,163.4
Russia,RUS,1860,163.3
Russia,RUS,1870,165.8
Russia,RUS,1880,166.6
Russia,RUS,1890,168.3
Russia,RUS,1900,169.2
Russia,RUS,1910,169.1
Russia,RUS,1920,167
Russia,RUS,1930,167.9
Russia,RUS,1940,169
Russia,RUS,1950,172
Russia,RUS,1960,173.6
Russia,RUS,1970,177
Russia,RUS,1980,177
Serbia,SRB,1850,166.2
Serbia,SRB,1870,169.7
Serbia,SRB,1880,167.1
Serbia,SRB,1890,168.1
Serbia,SRB,1960,175.8
Slovakia,SVK,1850,164.1
Slovakia,SVK,1860,163.5
Slovakia,SVK,1870,165.1
Slovakia,SVK,1880,165.8
Slovakia,SVK,1920,171.7
Slovakia,SVK,1930,173.3
Slovakia,SVK,1940,172.8
