Entity,Code,Year,height
Canada,CAN,1810,171.5
Canada,CAN,1820,171.5
Canada,CAN,1830,171.5
Canada,CAN,1840,170.4
Canada,CAN,1850,172.5
Canada,CAN,1860,172
Canada,CAN,1870,171.2
Canada,CAN,1880,171.2
Canada,CAN,1890,170.7
Canada,CAN,1900,169.9
Canada,CAN,1910,171.5
Canada,CAN,1920,173
Canada,CAN,1930,172.7
Canada,CAN,1940,174.6
Canada,CAN,1950,177
Canada,CAN,1960,178.3
Canada,CAN,1970,178.8
Canada,CAN,1980,179.6
Costa Rica,CRI,1940,166.1
Costa Rica,CRI,1980,173.6
Cuba,CUB,1870,167.1
Cuba,CUB,1880,166.8
Cuba,CUB,1890,166
Cuba,CUB,1900,166.1
Cuba,CUB,1910,167.9
Cuba,CUB,1940,169.4
Cuba,CUB,1950,169.2
Dominican Republic,DOM,1940,167.4
Dominican Republic,DOM,1950,168.1
Dominican Republic,DOM,1960,169
Dominican Republic,DOM,1970,168.8
Guatemala,GTM,1890,156.3
Guatemala,GTM,1910,156
Guatemala,GTM,1920,158.7
Guatemala,GTM,1930,158.7
Guatemala,GTM,1950,159.2
Guatemala,GTM,1960,159.8
Guatemala,GTM,1970,160.3
Guatemala,GTM,1980,160.8
Haiti,HTI,1920,166.9
Haiti,HTI,1930,166.7
Haiti,HTI,1950,170.4
Haiti,HTI,1960,171.1
Haiti,HTI,1970,171.3
Haiti,HTI,1980,171.5
Honduras,HND,1950,164
Honduras,HND,1960,164.2
Honduras,HND,1970,164.6
Honduras,HND,1980,164.7
Jamaica,JAM,1890,170.2
Jamaica,JAM,1910,167.1
Jamaica,JAM,1920,167.9
Jamaica,JAM,1930,169.7
Jamaica,JAM,1940,168.3
Jamaica,JAM,1980,173.6
Mexico,MEX,1810,161.3
Mexico,MEX,1820,160.4
Mexico,MEX,1830,160.4
Mexico,MEX,1840,162.5
Mexico,MEX,1850,163.4
Mexico,MEX,1860,162.9
Mexico,MEX,1870,163.7
Mexico,MEX,1880,163.9
Mexico,MEX,1890,163.9
Mexico,MEX,1900,163.9
Mexico,MEX,1910,163.7
Mexico,MEX,1920,161.1
Mexico,MEX,1930,165.5
Mexico,MEX,1940,165.8
Mexico,MEX,1950,165.1
Mexico,MEX,1960,166.4
Mexico,MEX,1980,167.8
Netherlands,NLD,1810,166
Netherlands,NLD,1820,165.1
Netherlands,NLD,1830,164.2
Netherlands,NLD,1840,164.5
Netherlands,NLD,1850,165.3
Netherlands,NLD,1860,166.5
Netherlands,NLD,1870,167.1
Netherlands,NLD,1880,168.5
Netherlands,NLD,1890,169.4
Netherlands,NLD,1900,170.9
Netherlands,NLD,1910,172.6
Netherlands,NLD,1920,173.5
Netherlands,NLD,1930,174.1
Netherlands,NLD,1940,177.5
Netherlands,NLD,1950,178.7
Netherlands,NLD,1960,182.2
Netherlands,NLD,1970,182.3
Netherlands,NLD,1980,182.7
Nicaragua,NIC,1950,165.6
Nicaragua,NIC,1960,165.9
Nicaragua,NIC,1970,166.2
Nicaragua,NIC,1980,166.4
Panama,PAN,1980,170
Puerto Rico,PRI,1890,164.5
Puerto Rico,PRI,1900,164
Puerto Rico,PRI,1910,165.4
Puerto Rico,PRI,1920,164
Puerto Rico,PRI,1930,163.7
Trinidad and Tobago,TTO,1980,174.4
United States,USA,1820,172.2
United States,USA,1830,173.5
United States,USA,1840,172.2
United States,USA,1850,171.1
United States,USA,1860,170.6
United States,USA,1870,171.1
United States,USA,1880,169.5
United States,USA,1890,169.1
United States,USA,1900,170
United States,USA,1910,172.1
United States,USA,1920,173.1
United States,USA,1930,173.4
United States,USA,1940,176.1
United States,USA,1950,177.1
United States,USA,1960,177.3
United States,USA,1970,178.3
United States,USA,1980,179
