Entity,Code,Year,height
Argentina,ARG,1810,168.8
Argentina,ARG,1820,169.9
Argentina,ARG,1830,170.9
Argentina,ARG,1840,169.6
Argentina,ARG,1850,168.2
Argentina,ARG,1860,167.4
Argentina,ARG,1870,167.6
Argentina,ARG,1880,167.6
Argentina,ARG,1890,167.8
Argentina,ARG,1900,167.9
Argentina,ARG,1910,168.2
Argentina,ARG,1920,169
Argentina,ARG,1930,169.8
Argentina,ARG,1940,170.6
Argentina,ARG,1950,170.8
Bolivia,BOL,1890,163.6
Bolivia,BOL,1900,162.5
Bolivia,BOL,1930,162.5
Bolivia,BOL,1940,163.4
Bolivia,BOL,1950,162.5
Bolivia,BOL,1960,163.2
Bolivia,BOL,1970,163.9
Bolivia,BOL,1980,164.2
Brazil,BRA,1810,164.3
Brazil,BRA,1820,164.3
Brazil,BRA,1830,164.8
Brazil,BRA,1840,164.6
Brazil,BRA,1850,164.5
Brazil,BRA,1860,165
Brazil,BRA,1870,166.5
Brazil,BRA,1880,166.1
Brazil,BRA,1890,167.1
Brazil,BRA,1900,167.5
Brazil,BRA,1910,166.5
Brazil,BRA,1920,166.6
Brazil,BRA,1930,167
Brazil,BRA,1940,167.1
Brazil,BRA,1950,168.2
Brazil,BRA,1960,169
Brazil,BRA,1970,171.6
Brazil,BRA,1980,171.7
Chile,CHL,1950,169.6
Chile,CHL,1980,173.1
Colombia,COL,1870,161.1
Colombia,COL,1880,162.1
Colombia,COL,1890,161.9
Colombia,COL,1900,161.8
Colombia,COL,1910,163.5
Colombia,COL,1920,164.7
Colombia,COL,1930,165.5
Colombia,COL,1940,167.1
Colombia,COL,1950,167.8
Colombia,COL,1960,168.5
Colombia,COL,1970,168.9
Colombia,COL,1980,170.6
Guyana,GUY,1880,159.2
Guyana,GUY,1890,157.5
Guyana,GUY,1900,156.8
Guyana,GUY,1970,167.2
Guyana,GUY,1980,170.5
Paraguay,PRY,1900,165.6
Paraguay,PRY,1930,165.4
Peru,PER,1810,163.4
Peru,PER,1820,162.6
Peru,PER,1830,162.5
Peru,PER,1840,161.3
Peru,PER,1850,161.8
Peru,PER,1860,161.7
Peru,PER,1870,161.3
Peru,PER,1880,161.5
Peru,PER,1930,159.7
Peru,PER,1940,160.9
Peru,PER,1950,162.2
Peru,PER,1960,163.1
Peru,PER,1970,163.9
Peru,PER,1980,164.2
Uruguay,URY,1880,165
Uruguay,URY,1930,168.1
